"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jan 1, 2022 7:04:05 PM PST","15244765211","Order","113-3832619-5457036","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","PARKERSBURG","WEST VIRGINIA","26104-1617","MarketplaceFacilitator","26.95","1.89","0","0","0","0","0","0","0","0","-1.89","-4.04","-3.64","0","0","19.27"
"Jan 1, 2022 11:02:56 PM PST","15244765211","Order","111-3049319-8180225","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","2","amazon.com","Standard Orders","Amazon","JULIAN","NC","27283-9166","MarketplaceFacilitator","53.90","3.64","0","0","0","0","0","0","0","0","-3.64","-8.08","-7.28","0","0","38.54"
"Jan 2, 2022 12:52:33 AM PST","15244765211","Order","114-5314015-1153862","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","EL MIRAGE","AZ","85335-6909","MarketplaceFacilitator","26.95","2.51","0","0","0","0","0","0","0","0","-2.51","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 1:46:11 AM PST","15244765211","Order","114-8491308-4965054","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","MC KENZIE","TN","38201-8529","MarketplaceFacilitator","26.95","2.63","0","0","0","0","0","0","0","0","-2.63","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 2:36:08 AM PST","15244765211","Order","112-6026767-8377820","10-LYV7-1U7J","Ez GunsSling Universal Non-Swivel Gunsling for Rifles,Shotguns and Favorite Firearm (Game Camouflage)","1","amazon.com","Standard Orders","Amazon","Lowell","AR","72745","MarketplaceFacilitator","26.95","2.56","0","0","0","0","0","0","0","0","-2.56","-4.04","-2.84","0","0","20.07"
"Jan 2, 2022 5:41:58 AM PST","15244765211","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-151.10","0","-151.10"
"Jan 2, 2022 6:30:33 AM PST","15244765211","Order","112-1636971-5405864","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","HIRAM","GA","30141-4258","MarketplaceFacilitator","26.95","1.89","0","0","0","0","0","0","0","0","-1.89","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 8:42:56 AM PST","15244765211","Order","113-4778100-9077818","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","SNEEDVILLE","TN","37869-4459","MarketplaceFacilitator","26.95","2.43","0","0","0","0","0","0","0","0","-2.43","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 11:23:24 AM PST","15244765211","Order","114-1197147-4685050","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","FORT MILL","SC","29708-8053","MarketplaceFacilitator","26.95","1.89","0","0","0","0","0","0","0","0","-1.89","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 3:06:01 PM PST","15244765211","Order","114-5346108-0777055","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","HUNTINGTON","AR","72940-7000","MarketplaceFacilitator","26.95","2.09","0","0","0","0","0","0","0","0","-2.09","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 3:54:21 PM PST","15244765211","Order","113-3218612-8426635","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","MONTGOMERY","TX","77356-6000","MarketplaceFacilitator","26.95","2.22","0","0","0","0","0","0","0","0","-2.22","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 4:20:19 PM PST","15244765211","Order","113-9632807-9765065","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","RIO RANCHO","NM","87144-5610","MarketplaceFacilitator","26.95","2.07","0","0","0","0","0","0","0","0","-2.07","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 4:36:41 PM PST","15244765211","Order","113-1904217-5840261","76-0HZJ-EEFIB","Ez GunsSling Universal Non-Swivel Gunsling for Rifles,Shotguns and Favorite Firearm (Woodgrain Brown)","1","amazon.com","Standard Orders","Amazon","CHARLESTON","WV","25311-8016","MarketplaceFacilitator","26.95","1.89","0","0","0","0","0","0","0","0","-1.89","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 5:57:23 PM PST","15244765211","Order","112-7879572-5335448","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","HUMMELSTOWN","PA","17036-9513","MarketplaceFacilitator","26.95","1.62","0","0","0","0","0","0","0","0","-1.62","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 5:58:00 PM PST","15244765211","Order","113-5383251-1956246","76-0HZJ-EEFIB","Ez GunsSling Universal Non-Swivel Gunsling for Rifles,Shotguns and Favorite Firearm (Woodgrain Brown)","1","amazon.com","Standard Orders","Amazon","GOODRICH","MI","48438-9788","MarketplaceFacilitator","26.95","1.62","0","0","0","0","0","0","0","0","-1.62","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 7:01:26 PM PST","15244765211","Order","113-8215504-9633802","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","2","amazon.com","Standard Orders","Amazon","CADET","MO","63630-7230","","53.90","0","0","0","0","0","0","0","0","0","0","-8.08","-7.28","0","0","38.54"
"Jan 2, 2022 8:57:13 PM PST","15244765211","Order","112-3819611-3336249","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","YUCAIPA","CA","92399-1879","MarketplaceFacilitator","26.95","2.09","0","0","0","0","0","0","0","0","-2.09","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 10:20:30 PM PST","15244765211","Order","113-0438129-5856255","S3-C76Q-MAK5","Ez GunsSling Universal Non-Swivel Gunsling for Rifles,Shotguns and Favorite Firearm (Woodgrain Grey)","1","amazon.com","Standard Orders","Amazon","BOWIE","MD","20716-2623","MarketplaceFacilitator","26.95","1.62","0","0","0","0","0","0","0","0","-1.62","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 11:16:25 PM PST","15244765211","Order","114-6670467-1472224","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","KLAMATH FALLS","OR","97601-8719","","26.95","0","0","0","0","0","0","0","0","0","0","-4.04","-3.64","0","0","19.27"
"Jan 2, 2022 11:29:32 PM PST","15244765211","Order","114-9158500-0965849","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","Belfair","WA","98528","MarketplaceFacilitator","26.95","2.29","0","0","0","0","0","0","0","0","-2.29","-4.04","-3.64","0","0","19.27"
"Jan 3, 2022 12:38:49 AM PST","15244765211","Order","114-0188685-9145008","76-0HZJ-EEFIB","Ez GunsSling Universal Non-Swivel Gunsling for Rifles,Shotguns and Favorite Firearm (Woodgrain Brown)","1","amazon.com","Standard Orders","Amazon","WHITESBORO","NY","13492","MarketplaceFacilitator","26.95","2.36","0","0","0","0","0","0","0","0","-2.36","-4.04","-3.64","0","0","19.27"
"Jan 3, 2022 2:10:10 AM PST","15244765211","Order","113-1672277-8566616","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","Newport News","VA","23602","MarketplaceFacilitator","26.95","1.62","0","0","0","0","0","0","0","0","-1.62","-4.04","-3.64","0","0","19.27"
"Jan 3, 2022 7:45:10 AM PST","15244765211","Order","114-6684064-0217867","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","DUNDAS","VA","23938-2307","MarketplaceFacilitator","26.95","0","7.17","0","0","0","0","0","-7.17","0","0","-4.04","-3.64","0","0","19.27"
"Jan 3, 2022 9:10:13 AM PST","15244765211","Order","112-8579519-1660229","10-LYV7-1U7J","Ez GunsSling Universal Non-Swivel Gunsling for Rifles,Shotguns and Favorite Firearm (Game Camouflage)","1","amazon.com","Standard Orders","Amazon","PASCO","WA","99301-4695","MarketplaceFacilitator","26.95","2.32","0","0","0","0","0","0","0","0","-2.32","-4.04","-2.84","0","0","20.07"
"Jan 3, 2022 9:27:34 AM PST","15244765211","Order","114-7526973-1658620","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","ATTICA","MI","48412-9306","MarketplaceFacilitator","26.95","1.62","0","0","0","0","0","0","0","0","-3.24","-8.08","-3.64","0","0","13.61"
"Jan 3, 2022 9:27:34 AM PST","15244765211","Order","114-7526973-1658620","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","ATTICA","MI","48412-9306","","26.95","1.62","0","0","0","0","0","0","0","0","0","0","-3.64","0","0","24.93"
"Jan 3, 2022 9:28:10 AM PST","15244765211","Order","113-1889823-5917850","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","COLUMBIA","SC","29205-2505","MarketplaceFacilitator","26.95","2.16","0","0","0","0","0","0","0","0","-2.16","-4.04","-3.64","0","0","19.27"
"Jan 3, 2022 10:06:47 AM PST","15244765211","Order","114-0211675-7308203","10-LYV7-1U7J","Ez GunsSling Universal Non-Swivel Gunsling for Rifles,Shotguns and Favorite Firearm (Game Camouflage)","1","amazon.com","Standard Orders","Amazon","BARDSTOWN","KY","40004-1925","MarketplaceFacilitator","26.95","1.62","0","0","0","0","0","0","0","0","-1.62","-4.04","-2.84","0","0","20.07"
"Jan 3, 2022 10:52:23 AM PST","15244765211","Order","112-6427343-5623430","XT-57LG-DX7O","Ez GunsSling Universal Non-Swivel Gunsling (K) For Rifles,Shotguns and Favorite Firearm Black","1","amazon.com","Standard Orders","Amazon","CHARLOTTE","NC","28269-2847","MarketplaceFacilitator","26.95","1.95","0","0","0","0","0","0","0","0","-1.95","-4.04","-3.64","0","0","19.27"
